cluster_id,folder_names
1,S05_25_10_117_661426
2,S05_25_10_17_661665
3,S05_25_10_25_661320
4,S05_25_10_360_637484
5,S05_25_10_361_682246
6,S05_25_10_36_661395
7,S05_25_10_410_633306
8,S05_25_10_485_685978
9,S05_25_10_59_661551
10,S05_25_10_667_636800
11,S05_25_11_384_661571
12,S05_25_11_387_661537
13,S05_25_11_43_662731
14,S05_25_11_44_662730
15,S05_25_11_635_637578
16,S05_25_11_683_632548
17,S05_25_11_687_633699
18,S05_25_11_84_662575
19,S05_25_12_111_743448
20,S05_25_12_205_747631
21,S05_25_12_249_747675
22,S05_25_12_34_743410
23,S05_25_12_395_636515
24,S05_25_12_399_636494
25,S05_25_12_488_636147
26,S05_25_12_571_636230
27,S05_25_12_623_636070
28,S05_25_12_630_636064
29,S05_25_12_69_743367
30,S05_25_12_720_635863
31,S05_25_12_731_635858
32,S05_25_12_782_635760
33,S05_25_12_810_635572
34,S05_25_12_826_635541
35,S05_25_12_848_635462
36,S05_25_12_98_743374
37,S05_25_13_102_635458
38,S05_25_13_1055_636590
39,S05_25_13_1060_636585
40,S05_25_13_1061_636584
41,S05_25_13_1093_636502
42,S05_25_13_1098_826675
43,S05_25_13_115_635445
44,S05_25_13_134_635412
45,S05_25_13_299_635138
46,S05_25_13_312_635096
47,S05_25_13_320_635088
48,S05_25_13_35_632458
49,S05_25_13_361_634148
50,S05_25_13_363_634150
51,S05_25_13_410_634055
52,S05_25_13_437_662457
53,S05_25_13_514_662204
54,S05_25_13_617_661936
55,S05_25_13_618_661935
56,S05_25_13_647_661875
57,S05_25_13_654_661868
58,S05_25_13_686_661519
59,S05_25_13_748_661600
60,S05_25_13_752_661595
61,S05_25_13_814_661385
62,S05_25_13_819_661380
63,S05_25_13_966_661046
64,S05_25_13_977_661036
65,S05_25_13_989_637717
66,S05_25_14_102_636281
67,S05_25_14_116_636220
68,S05_25_14_117_636219
69,S05_25_14_132_636268
70,S05_25_14_214_636116
71,S05_25_14_261_635871
72,S05_25_14_367_635842
73,S05_25_14_375_635817
74,S05_25_14_397_632391
75,S05_25_14_436_635695
76,S05_25_14_441_635696
77,S05_25_14_475_635710
78,S05_25_14_667_635233
79,S05_25_14_720_635154
80,S05_25_14_727_635151
81,S05_25_14_870_662165
82,S05_25_14_900_635073
83,S05_25_15_201_1113776
84,S05_25_15_20_635031
85,S05_25_15_212_634337
86,S05_25_15_274_634421
87,S05_25_15_293_634334
88,S05_25_15_562_634490
89,S05_25_15_564_634489
90,S05_25_15_593_634354
91,S05_25_15_616_634297
92,S05_25_15_656_633922
93,S05_25_15_658_633920
94,S05_25_15_738_715075
95,S05_25_16_149_747918
96,S05_25_16_202_748059
97,S05_25_16_226_748067
98,S05_25_16_228_748065
99,S05_25_16_423_747120
100,S05_25_16_552_633663
101,S05_25_16_5_747848
102,S05_25_16_686_746790
103,S05_25_16_708_633016
104,S05_25_17_25_746548
105,S05_25_17_26_746547
106,S05_25_17_27_746546
107,S05_25_17_376_717470
108,S05_25_17_378_717468
109,S05_25_17_551_717014
110,S05_25_17_566_716970
111,S05_25_18_327_633560
112,S05_25_18_655_635020
113,S05_25_19_212_714401
114,S05_25_19_213_714431
115,S05_25_19_214_714430
116,S05_25_19_220_714402
117,S05_25_19_237_714477
118,S05_25_19_303_714199
119,S05_25_19_478_717088
120,S05_25_19_481_717138
121,S05_25_19_493_717280
122,S05_25_19_528_717143
123,S05_25_19_722_665382
124,S05_25_19_792_716171
125,S05_25_19_796_716167
126,S05_25_19_818_716264
127,S05_25_19_834_716233
128,S05_25_19_855_715896
129,S05_25_19_868_716109
130,S05_25_19_881_716060
131,S05_25_19_951_84186
132,S05_25_1_1129_1117548
133,S05_25_1_155_747600
134,S05_25_1_260_747314
135,S05_25_1_274_747287
136,S05_25_1_297_632580
137,S05_25_1_414_746942
138,S05_25_1_613_746523
139,S05_25_1_63_745467
140,S05_25_1_747_632364
