cluster_id,folder_names
1,S05_25_10_117_661426
2,S05_25_10_17_661665
3,S05_25_10_195_661156
4,S05_25_10_25_661320
5,S05_25_10_310_637636
6,S05_25_10_360_637484
7,S05_25_10_361_682246
8,S05_25_10_36_661395
9,S05_25_10_374_637476
10,S05_25_10_410_633306
11,S05_25_10_485_685978
12,S05_25_10_59_661551
13,S05_25_10_624_633714
14,S05_25_10_667_636800
15,S05_25_11_20_662775
16,S05_25_11_384_661571
17,S05_25_11_387_661537
18,S05_25_11_422_661457
19,S05_25_11_43_662731
20,S05_25_11_44_662730
21,S05_25_11_472_661197
22,S05_25_11_542_637618
23,S05_25_11_635_637578
24,S05_25_11_683_632548
25,S05_25_11_687_633699
26,S05_25_11_84_662575
27,S05_25_12_111_743448
28,S05_25_12_205_747631
29,S05_25_12_249_747675
30,S05_25_12_34_743410
31,S05_25_12_395_636515
32,S05_25_12_399_636494
33,S05_25_12_473_636336
34,S05_25_12_488_636147
35,S05_25_12_571_636230
36,S05_25_12_623_636070
37,S05_25_12_630_636064
38,S05_25_12_69_743367
39,S05_25_12_720_635863
40,S05_25_12_731_635858
41,S05_25_12_736_635854
42,S05_25_12_782_635760
43,S05_25_12_810_635572
44,S05_25_12_826_635541
45,S05_25_12_848_635462
46,S05_25_12_849_635470
47,S05_25_12_98_743374
48,S05_25_13_102_635458
49,S05_25_13_1055_636590
50,S05_25_13_1060_636585
51,S05_25_13_1061_636584
52,S05_25_13_1085_636509
53,S05_25_13_1093_636502
54,S05_25_13_1094_636501
55,S05_25_13_1098_826675
56,S05_25_13_115_635445
57,S05_25_13_134_635412
58,S05_25_13_232_635218
59,S05_25_13_264_635206
60,S05_25_13_299_635138
61,S05_25_13_312_635096
62,S05_25_13_320_635088
63,S05_25_13_35_632458
64,S05_25_13_361_634148
65,S05_25_13_362_634149
66,S05_25_13_363_634150
67,S05_25_13_410_634055
68,S05_25_13_432_632590
69,S05_25_13_437_662457
70,S05_25_13_491_662241
71,S05_25_13_514_662204
72,S05_25_13_527_662177
73,S05_25_13_617_661936
74,S05_25_13_618_661935
75,S05_25_13_647_661875
76,S05_25_13_654_661868
77,S05_25_13_686_661519
78,S05_25_13_748_661600
79,S05_25_13_752_661595
80,S05_25_13_814_661385
81,S05_25_13_819_661380
82,S05_25_13_951_661089
83,S05_25_13_966_661046
84,S05_25_13_977_661036
85,S05_25_13_989_637717
86,S05_25_14_116_636220
87,S05_25_14_117_636219
88,S05_25_14_132_636268
89,S05_25_14_214_636116
90,S05_25_14_261_635871
91,S05_25_14_367_635842
92,S05_25_14_375_635817
93,S05_25_14_397_632391
94,S05_25_14_436_635695
95,S05_25_14_475_635710
96,S05_25_14_720_635154
97,S05_25_14_727_635151
98,S05_25_14_762_634235
99,S05_25_14_870_662165
100,S05_25_14_900_635073
101,S05_25_15_201_1113776
102,S05_25_15_20_635031
103,S05_25_15_212_634337
104,S05_25_15_274_634421
105,S05_25_15_293_634334
106,S05_25_15_562_634490
107,S05_25_15_564_634489
108,S05_25_15_593_634354
109,S05_25_15_616_634297
110,S05_25_15_618_634295
111,S05_25_15_656_633922
112,S05_25_15_658_633920
113,S05_25_15_71_634906
114,S05_25_15_738_715075
115,S05_25_16_149_747918
116,S05_25_16_202_748059
117,S05_25_16_226_748067
118,S05_25_16_228_748065
119,S05_25_16_423_747120
120,S05_25_16_486_747409
121,S05_25_16_552_633663
122,S05_25_16_5_747848
123,S05_25_16_686_746790
124,S05_25_16_708_633016
125,S05_25_16_709_632791
126,S05_25_17_229_714448
127,S05_25_17_25_746548
128,S05_25_17_26_746547
129,S05_25_17_374_717505
130,S05_25_17_376_717470
131,S05_25_17_378_717468
132,S05_25_17_551_717014
133,S05_25_17_566_716970
134,S05_25_18_255_716347
135,S05_25_18_327_633560
136,S05_25_18_459_633614
137,S05_25_18_655_635020
138,S05_25_18_95_716543
139,S05_25_19_212_714401
140,S05_25_19_213_714431
