cluster_id,folder_names
1,S05_25_10_24_661321
2,S05_25_11_627_720162
3,S05_25_14_102_636281
4,S05_25_14_441_635696
5,S05_25_14_667_635233
6,S05_25_14_713_635161
7,S05_25_15_374_633905
8,S05_25_15_730_715083
9,S05_25_15_86_634862
10,S05_25_15_91_634856
11,S05_25_17_27_746546
12,S05_25_18_621_633359
13,S05_25_19_237_714477
14,S05_25_1_274_747287
15,S05_25_1_738_748620
16,S05_25_1_764_748612
17,S05_25_22_188_715449
18,S05_25_22_270_714156
19,S05_25_22_596_745841
20,S05_25_22_842_744794
21,S05_25_23_151_746240
22,S05_25_24_285_682934
23,S05_25_25_1008_683316
24,S05_25_25_346_666456
25,S05_25_25_757_683773
26,S05_25_26_282_682192
27,S05_25_26_514_664103
28,S05_25_28_579_666963
29,S05_25_2_1206_664604
30,S05_25_31_310_664794
31,S05_25_33_173_685162
32,S05_25_34_87_687981
33,S05_25_37_317_688224
34,S05_25_38_907_717951
35,S05_25_4_68_718210
36,S05_25_5_800_744544
37,S05_25_5_861_744273
38,S05_25_5_907_744183
39,S05_25_6_1080_719421
40,S05_25_6_508_747983
41,S05_25_6_738_748307
42,S05_25_7_161_719937
43,S05_25_7_177_719906
44,S05_25_7_181_719902
45,S05_25_7_2_719774
46,S05_25_7_444_744225
47,S05_25_7_490_744102
48,S05_25_9_80_662616
