CLUSTER ID,REMARKS
3,move to duplicate
4,move to duplicate
5,move to duplicate
6,move to duplicate
10,move to duplicate
1,delete
7,delete
8,delete
9,delete
11,move to duplicate
13,move to duplicate
14,move to duplicate
15,delete
16,delete
17,move to duplicate
18,delete
19,delete
20,delete
22,move to duplicate
23,move to duplicate
24,delete
25,move to duplicate
26,delete
27,move to duplicate
28,move to duplicate
29,delete
30,move to duplicate
31,delete
32,delete
33,move to duplicate
35,delete
36,delete
37,move to duplicate
38,delete
40,move to duplicate
41,delete
42,delete
43,delete
45,move to duplicate
46,delete
47,delete
48,delete
